Word,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Bigram,Conc.M,Conc.SD,Unknown,Total,Percent_known,SUBTLEX,Dom_Pos,mean_Clusters
background,2,2,2,2,3,3,2,5,2,3,2,2,2,2,2,2,2,2,10,2,2,2,2,2,2,0,3.26,1.36,0,28,1,899,Noun,2.56
bad,3,2,2,5,2,4,2,2,2,2,3,2,2,2,2,2,5,5,2,4,2,2,2,4,2,0,1.68,1.02,1,30,0.965517241,27804,Adjective,2.68
balance,2,3,2,3,3,2,3,2,3,2,7,2,2,2,3,2,7,3,2,2,2,3,2,4,3,0,2.89,1.34,0,28,1,764,Noun,2.84
bank,5,5,4,3,2,7,5,5,10,9,3,2,4,2,3,2,4,2,3,8,3,4,2,5,2,0,4.78,0.61,0,29,1,4334,Noun,4.16
bar,9,4,2,2,2,2,3,10,2,9,3,5,5,3,2,3,4,3,4,3,3,3,9,2,2,0,4.67,0.62,0,29,1,4385,Noun,3.96
base,5,2,2,2,6,3,2,3,2,2,2,2,8,2,2,4,2,4,2,2,2,2,2,5,3,0,3.86,1.48,0,29,1,1804,Noun,2.92
based,7,4,2,2,5,5,7,3,2,4,6,8,2,2,2,2,4,3,4,3,5,3,6,6,4,0,1.85,1.26,0,27,1,1357,Verb,4.04
basic,3,7,3,6,4,2,3,5,7,5,5,9,2,2,6,10,8,2,2,5,2,5,2,3,4,0,2.26,1.32,0,30,1,794,Adjective,4.48
bear,4,4,2,2,4,2,6,10,3,2,5,4,3,2,3,2,3,2,8,4,4,9,10,2,3,0,4.88,0.43,0,29,1,2928,Noun,4.12
become,3,6,6,3,2,4,5,6,2,3,3,2,3,6,6,2,2,5,2,2,7,3,3,2,2,0,1.54,0.84,0,27,1,5894,Verb,3.6
begin,2,3,5,3,5,4,2,2,4,9,2,6,5,2,2,8,4,2,3,3,8,5,9,9,2,0,2.56,1.42,0,27,1,2906,Verb,4.36
beginning,2,3,5,5,2,2,5,2,2,2,2,3,2,5,4,2,2,3,4,2,2,2,4,2,2,0,2.5,1.39,0,28,1,3219,Noun,2.84
behavior,2,3,3,3,2,10,3,4,2,4,2,2,4,2,3,3,10,3,5,5,3,4,2,3,3,0,2.19,1.22,0,28,1,1142,Noun,3.6
being,2,3,3,3,5,4,3,5,3,3,2,2,8,4,5,5,2,4,2,6,5,4,6,2,2,0,1.93,1.41,0,27,1,24781,Verb,3.72
belief,2,2,2,6,2,7,2,4,2,3,9,4,2,9,3,8,10,2,2,4,2,3,4,3,5,0,1.19,0.68,0,28,1,388,Noun,4.08
believe,10,8,3,4,5,2,9,2,5,5,3,2,2,2,4,2,8,2,3,4,3,3,4,5,2,0,1.55,0.95,0,27,1,31882,Verb,4.08
best,5,7,5,2,3,3,2,4,2,2,7,4,3,3,3,2,3,3,5,7,2,4,3,3,2,0,1.6,0.81,0,30,1,20623,Adjective,3.56
better,2,9,3,7,10,4,3,2,9,2,3,6,9,4,3,4,5,4,6,2,5,5,3,4,4,0,1.91,1.04,0,29,1,40494,Adverb,4.72
bid,2,3,2,2,3,3,2,2,3,2,2,2,3,6,4,2,4,2,2,2,6,3,2,2,3,0,2.71,1.24,0,27,1,642,Verb,2.76
big,5,3,2,4,4,2,3,2,3,4,4,4,3,5,4,5,3,2,5,5,2,4,4,4,4,0,3.66,1.56,0,31,1,34824,Adjective,3.6
bill,7,3,3,8,2,10,5,9,2,7,3,2,8,2,10,2,5,4,6,3,4,2,2,3,3,0,4.68,0.67,0,29,1,6041,Name,4.6
binding,6,3,5,5,3,4,7,2,4,7,3,4,6,2,10,10,4,7,2,3,2,4,5,4,5,0,3.39,1.5,0,31,1,111,Adjective,4.68
confine,2,2,3,2,2,2,2,5,2,2,2,2,2,2,2,2,5,2,2,2,3,3,5,2,2,0,3.07,1.05,0,28,1,50,Verb,2.48
conflict,2,8,2,5,3,2,7,4,2,5,2,4,3,4,2,5,2,3,5,2,3,3,2,4,5,0,2.21,1.2,0,28,1,444,Noun,3.56
conformity,2,3,2,3,2,10,2,4,3,2,6,4,3,3,2,3,2,3,3,2,3,4,2,2,2,0,1.79,1.18,0,28,1,19,Noun,3.08
congratulate,3,2,6,2,2,3,4,2,7,2,2,2,3,2,6,3,3,2,4,3,3,2,6,2,4,0,3.04,1.37,0,28,1,358,Verb,3.2
conjunction,2,2,2,6,5,7,3,3,4,4,8,5,2,2,2,7,3,10,2,6,5,2,2,3,3,0,2.15,1.35,0,28,1,66,Noun,4
connection,3,2,3,2,2,3,5,2,4,2,2,5,3,2,2,4,3,3,2,3,2,2,6,3,10,0,3,1.39,0,28,1,1386,Noun,3.2
conscious,2,2,6,3,2,3,7,7,5,2,2,5,7,2,2,5,9,6,2,2,6,2,2,2,2,0,2.03,1.43,0,30,1,347,Adjective,3.8
consequence,2,6,3,6,4,7,8,2,7,4,2,6,4,2,4,2,6,2,2,2,2,2,4,2,3,0,2.64,1.52,0,28,1,160,Noun,3.76
consider,10,5,4,5,3,2,7,5,5,2,5,2,4,3,5,3,6,2,5,6,3,6,2,8,3,0,1.68,0.98,0,27,1,2676,Verb,4.44
consideration,9,2,3,4,5,4,4,2,5,3,2,3,3,6,6,3,2,2,4,3,2,2,2,2,2,0,1.86,1.27,0,28,1,334,Noun,3.4
consolidation,2,2,3,3,2,6,9,2,3,2,4,2,7,9,2,3,3,2,2,4,2,6,3,8,2,0,2.79,1.38,0,28,1,10,Noun,3.72
constant,2,2,2,8,2,2,5,10,2,6,10,10,5,2,9,9,2,2,5,6,2,6,9,2,10,0,2.04,1.26,0,30,1,506,Adjective,5.2
construction,3,2,3,4,9,3,2,2,2,4,2,7,5,2,2,3,2,6,6,6,9,4,6,2,2,0,3.72,1.44,0,29,1,706,Noun,3.92
contact,8,3,7,5,4,6,5,2,7,2,2,2,4,6,3,6,4,2,2,3,6,3,4,3,3,0,3.86,1.41,0,29,1,3305,Noun,4.08
contain,2,2,5,3,2,2,2,7,2,2,2,3,2,8,2,9,2,2,2,2,5,4,4,9,3,0,2.74,1.2,0,27,1,310,Verb,3.52
content,2,2,2,2,5,7,5,2,4,3,4,3,7,6,2,2,2,2,8,2,3,9,2,2,2,0,2.59,1.45,0,28,1,389,Noun,3.6
continue,4,9,5,6,2,6,5,9,2,2,5,5,2,2,4,5,2,4,2,2,2,6,2,4,5,0,2.36,1.28,0,27,1,2527,Verb,4.08
contract,4,2,2,4,3,5,4,6,8,2,2,2,5,2,3,5,3,3,2,2,4,2,2,2,3,0,4.15,1.2,0,29,1,1650,Noun,3.28
contrary,9,10,8,7,3,9,8,2,4,9,2,5,4,2,3,10,8,2,2,4,4,2,2,7,3,0,1.56,0.89,0,28,1,454,Noun,5.16
contrast,3,2,2,6,2,2,2,4,5,2,2,3,2,2,6,5,2,5,5,4,5,9,9,4,3,0,2.64,1.31,0,28,1,107,Noun,3.84
